t;y;x;z
0.000000;1000.000000;-863.200184;-10.061088
0.000005;1000.000000;-863.198898;-10.061088
0.000031;1000.000000;-863.192466;-10.061088
0.000160;1000.000000;-863.160309;-10.061088
0.000803;999.999997;-862.999568;-10.061088
0.004019;999.999921;-862.196918;-10.061087
0.020098;999.998028;-858.209892;-10.061067
0.100495;999.951542;-838.902105;-10.060592
0.238739;999.734001;-807.916005;-10.058364
0.401429;999.269718;-774.529348;-10.053611
0.587372;998.482699;-739.774977;-10.045554
0.796696;997.291064;-704.249222;-10.033353
1.030817;995.597705;-668.237314;-10.016016
1.291781;993.285479;-631.904457;-9.992344
1.582117;990.211652;-595.353690;-9.960877
1.904792;986.201480;-558.653689;-9.919835
2.263144;981.041687;-521.861274;-9.867055
2.660979;974.470851;-485.021608;-9.799908
3.102643;966.168133;-448.174345;-9.715209
3.593101;955.739825;-411.360460;-9.609131
4.138095;942.702432;-374.627112;-9.477108
4.738095;926.638841;-338.391762;-9.315514
5.338095;908.845383;-305.846830;-9.138025
5.938095;889.392100;-276.443962;-8.945734
6.538095;868.356386;-249.767862;-8.739457
7.138095;845.823447;-225.494815;-8.519663
7.738095;821.885609;-203.365480;-8.286625
8.338095;796.640804;-183.167015;-8.040670
8.938095;770.190512;-164.721690;-7.782475
9.538095;742.637470;-147.878952;-7.513199
10.138095;714.083478;-132.508099;-7.234206
10.738095;684.627531;-118.492105;-6.946608
11.338095;654.364342;-105.723152;-6.650820
11.938095;623.383252;-94.100351;-6.346672
12.538095;591.767460;-83.529004;-6.034031
13.138095;559.593557;-73.920291;-5.713371
13.738095;526.931320;-65.191191;-5.385884
14.338095;493.843719;-57.264606;-5.052950
14.938095;460.387107;-50.069675;-4.715442
15.538095;426.611522;-43.541896;-4.373368
16.138095;392.561101;-37.622688;-4.026185
16.738095;358.274542;-32.258772;-3.673257
17.338095;323.785608;-27.401692;-3.314280
17.938095;289.123623;-23.007608;-2.949680
18.538095;254.313953;-19.037084;-2.581021
19.138095;219.378468;-15.454468;-2.211155
19.738095;184.335964;-12.226857;-1.843555
20.338095;149.202570;-9.323227;-1.480993
20.938095;113.992094;-6.714275;-1.124529
21.538095;78.716346;-4.372828;-0.773479
22.138095;43.385402;-2.274220;-0.425791
22.738095;8.007846;-0.396262;-0.078709
22.873811;0.000000;0.000018;0.000004
22.873811;-0.000000;0.000018;0.000004
